S.No,inst_name,Rating,Category,Course,Infra,Faculty,District,State,Links,Placement %,ALP,Fee,Combined Score,Rank,FeeCategory,S links,Classified Rating,Our Rating
740,Government Degree College,3,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Average,Good,Morena,Madhya Pradesh,https://mphighereducation.nic.in/InstitutePortal/Public/About_Institute.aspx?InstId=Mjky,47,2.6,10000,16.08,633,vl,,,n/a
507,Government Danteshwari College,3.5,AS,"{'ba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Dantewada,Chhattisgarh,https://pgcollegedantewada.in/,46,2.9,4580,16.07,634,vl,https://youtu.be/tWXmG5ZAmkk?feature=shared,0,2
567,MVN University,2.7,AS,"{'ba', 'mcom', 'd.pharm', 'b.pharm', 'msc', 'm.pharm', 'ma', 'bcom', 'diploma', 'eee', 'cse', 'bsc', 'llb', 'mec', 'ece'}",Bad,Good,Palwal,Haryana,https://www.mvn.edu.in/,48,1.9,60200,16.05,635,m,https://youtu.be/xkjgvHNILIc?feature=shared,0.233333333,3
733,Government Degree College,3,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Average,Good,Jhabua,Madhya Pradesh,https://jhabua.nic.in/en/public-utility-category/colleges/,47,2.4,10000,16.02,636,vl,,,n/a
624,Jamtara College,2.6,AS,"{'ba', 'msc', 'ma', 'bcom', 'bsc'}",Bad,Good,Jamtara,Jharkhand,https://jamtaracollege.ac.in/,49,0.6,5000,15.92,637,vl,,,n/a
219,NARAYANA ENGINEERING COLLEGE,3.6,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Nellore,Andhra Pradesh,https://www.necn.ac.in,45,3.2,40000,15.9,638,l,https://youtu.be/i3D_UHJumpo?feature=shared,5.55E-17,2
717,Government PG College,3.5,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Average,Good,Damoh,Madhya Pradesh,http://www.gcgpgcollegedamoh.com/,46,2.3,5000,15.89,639,vl,,,n/a
464,T. N. B. College,3.8,M,"{'ba', 'bca', 'bsc'}",Good,Good,Bhagalpur,Bihar,https://tnbcollege.org/,45,2.8,1063,15.86,640,vl,https://youtu.be/DVnXBXJ3_VM?feature=shared,0.095555556,2
810,"S. H. Kelkar College of Arts, Commerce and Science",4,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Sindhudurg,Maharashtra,https://shkelkarcollege.ac.in/,45,2.5,7000,15.85,641,vl,,,n/a
467,J. P. College,3.5,AS,"{'btech', 'ba', 'mcom', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Chapra,Bihar,https://jpv.ac.in/,45,3,82600,15.8,642.5,h,https://www.instagram.com/jpuniversitychapra/,,n/a
466,Marwari College,3.5,AS,"{'ba', 'mcom', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Darbhanga,Bihar,https://marwaricollege.ac.in/,45,3,22050,15.8,642.5,vl,https://youtu.be/aB_HakKAfXY?feature=shared,0.116666667,3
703,Government PG College,3.5,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Anuppur,Madhya Pradesh,https://anuppur.nic.in/en/public-utility-category/colleges/,45,2.8,5000,15.74,644,vl,,,n/a
616,Jamshedpur Co-operative College,3.9,AS,"{'ba', 'msc', 'ma', 'bcom', 'bsc'}",Good,VGood,East Singhbhum,Jharkhand,https://www.cooperativecollegejsr.ac.in/,45,2,500,15.66,645,vl,https://youtu.be/4hdCLDynJvE?feature=shared,0.03392435,2
716,Government PG College,3.5,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Chhindwara,Madhya Pradesh,https://pgcollegechhindwara.edu.in/,45,2.1,5000,15.53,646,vl,https://youtu.be/PLnsw4TZjeA?feature=shared,0.080397727,2
799,Yashwantrao Chavan Maharashtra Open University,3.9,AS,"{'ba', 'mcom', 'd.pharm', 'b.pharm', 'msc', 'm.pharm', 'ma', 'bcom', 'diploma', 'eee', 'cse', 'bsc', 'llb', 'mec', 'ece'}",Good,VGood,Nashik,Maharashtra,https://ycmou.digitaluniversity.ac/,43,2.5,32500,15.21,647,vl,https://youtu.be/ThktS0b4SQI?feature=shared,0.245454545,3
603,Government College Nahan,2.6,AS,"{'ba', 'msc', 'ma', 'bcom', 'bsc'}",Bad,Good,Sirmaur,Himachal Pradesh,https://gcnahan.in/,45,2,1500,15.14,648,vl,https://www.instagram.com/pg_clg_nahan/,,n/a
633,D.A.V. College,2.8,AS,"{'ba', 'msc', 'ma', 'bcom', 'bsc'}",Bad,Good,Palamu,Jharkhand,https://jharkhand.studyinfo.org.in/dav-institute-of-engineering-and-technology/,45,1.7,69240,15.13,649,m,https://www.instagram.com/davcollegenepal/,,n/a
566,Government College,2.5,AS,"{'ba', 'mcom', 'msc', 'mca', 'ma', 'bcom', 'bsc'}",Bad,Good,Mahendragarh,Haryana,http://gcnnl.ac.in/,45,1.6,5000,14.98,650,vl,,,n/a
16,"AKRG COLLEGE OF ENGG AND
 TECHNOLOGY",4.1,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,West Godavari,Andhra Pradesh,https://www.akrgdegree.ac.in/,40,3,74600,14.54,651,h,https://youtu.be/hfcT1Knzmys?feature=shared,0.377222222,4
760,BKSN Government Degree College,2.7,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Bad,Good,Shajapur,Madhya Pradesh,https://mphighereducation.nic.in/InstitutePortal/Default.aspx?InstId=NTY0,42,2.2,5000,14.34,652,vl,https://youtu.be/EOff1hepjRI?feature=shared,0,2
35,"A S K COLLEGE OF TECHNOLOGY
 MANAGEMENT",3.8,M,"{'bma', 'marketing', 'mba'}",Good,Good,Anakapalli,Andhra Pradesh,https://askctm.in/#:~:text=ASK%20College%20of%20Technology%20and%20Management%20%E2%80%93%20Anakapalle%2C%20Visakhapatnam,40,2,72000,14.12,653,h,https://youtu.be/6kBk2_OnwAc?feature=shared,0.1625,3
169,"DR.K V SUBBA REDDY INST OF
 PHARMACY",3,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Bad,Good,Anantapur,Andhra Pradesh,http://drkvsrip.ac.in,40,3,120000,14.1,654,vh,https://youtu.be/i5jvhYqU6BQ?feature=shared,0.122222222,3
54,"BHEEMA INST OF TECHNOLOGY AND
 SCI",3.7,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Kurnool,Andhra Pradesh,https://www.bitsadoni.ac.in/index1.php,40,1.8,40000,14.02,655,l,https://youtu.be/D4jAPYPCFKw?feature=shared,0.016666667,2
712,Government PG College,3,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Average,Good,Burhanpur,Madhya Pradesh,https://burhanpur.nic.in/en/public-utility-category/colleges/,40,2.5,14000,13.95,656.5,vl,,,n/a
147,"JAGAN'S INSTITUTE OF
 PHARMACEUTICAL SCIENCES",3,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Bad,Good,Nellore,Andhra Pradesh,jaganscollegeofpharmacy.in,40,2.5,35000,13.95,656.5,vl,,,n/a
749,Government Degree College,3,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Average,Good,Rajgarh,Madhya Pradesh,https://www.gcrajgarh.ac.in/,40,2,5000,13.8,659,vl,,,n/a
98,D.B.S.INST OF TECHNOLOGY,3,E,"{'ece', 'eee', 'mec', 'cse'}",Bad,Good,Nellore,Andhra Pradesh,https://www.dbsinstitutions.com,40,2,40000,13.8,659,l,,,n/a
704,Government Degree College,3,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Ashoknagar,Madhya Pradesh,https://ashoknagar.nic.in/en/public-utility/government-nehru-degree-college/,40,2,4750,13.8,659,vl,,,n/a
210,"NALANDA INSTITUTE OF ENGG. AND
 TECHNOLOGY",2.9,E,"{'ece', 'eee', 'mec', 'cse'}",Bad,Good,Guntur,Andhra Pradesh,Www.Ngi.Ac.In,40,2,36500,13.76,661,l,https://youtu.be/lsg6dyPW8mU?feature=shared,-0.185333333,1
420,Government College of Lower Subansiri,2.5,M,"{'ba', 'bcom'}",Bad,Good,Lower Subansiri,Arunachal Pradesh,http://www.gcyachuli.ac.in,40,2.5,26000,13.75,662,vl,,,n/a
787,"Rajarshi Shahu Arts, Commerce and Science College",2.8,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Bad,Good,Hingoli,Maharashtra,,40,1.2,2350,13.48,663,vl,,,n/a
742,Government PG College,2.8,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Average,Good,Neemuch,Madhya Pradesh,,38,1.8,10000,13.06,664,vl,https://www.instagram.com/pg_college_neemuch/,,n/a
410,YELAMARTY B. PHARMACY COLLEGE,2.5,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Bad,Good,Visakhapatnam,Andhra Pradesh,https://www.yalamarty.edu.in/,35,2,35000,12.1,665,vl,,,n/a
423,Government College of Bomdila,2.5,M,"{'ba', 'bcom'}",Bad,Good,West Kameng,Arunachal Pradesh,https://gcbdl.edu.in/,35,1.5,5000,11.95,666,vl,https://youtu.be/NHXjLa9n6Oo?feature=shared,0.6,5
617,S.S. Memorial College,2.9,AS,"{'ba', 'msc', 'ma', 'bcom', 'bsc'}",Bad,Good,Garhwa,Jharkhand,https://ssmemorialcollege.com/,34,1.6,1057,11.84,667,vl,https://youtu.be/n_f1zLvgcyU?feature=shared,0.075396825,2
425,Baksa College,2.6,M,"{'bba', 'bca', 'b.a', 'bcom', 'b.sc'}",Bad,Good,Baksa,Assam,http://bdcb.ac.in/,34,0.6,6110,11.42,668,vl,,,n/a
39,SVR ENGINEERING COLLEGE,3.6,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Nandyal,Andhra Pradesh,https://svrec.ac.in/,30,3,40000,11.34,669,l,https://youtu.be/dkOnnubcLxg?feature=shared,0.096875,2
85,"CHIRANJIVI REDDY INST OF ENGG
 AND TECHNOLOGY",2.7,E,"{'ece', 'eee', 'mec', 'cse'}",Bad,Good,Anantapuramu,Andhra Pradesh,https://www.critatp.in/,30,3,40000,10.98,670,l,,,n/a
602,Government College Sanjauli,1.6,AS,"{'ba', 'msc', 'ma', 'bcom', 'bsc'}",Bad,Bad,Shimla,Himachal Pradesh,https://www.gcsanjauli.edu.in/,30,1,33330,9.94,671,vl,https://youtu.be/yFjchlOR930?feature=shared,0.088078704,2
6,ADARSHA COLL OF PHARMACY,3,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Bad,Good,East Godavari,Andhra Pradesh,"https://adarsacollegeofpharmacy.com/wp/#:~:text=ADARSA%20College%20of%20Pharmacy%20is,excellent%20roads%20and%20road%20transportation.",20,4,51000,8.4,672,m,https://www.instagram.com/adarshgroupofinstitutions/?hl=en,,n/a
478,Jamunilal College,1.4,M,"{'ba', 'bca', 'bsc', 'bcom'}",Bad,Good,Lakhisarai,Bihar,https://lakhisarai.nic.in/public-utility/rajeshwar-lal-college-lakhisarai/,25,0.8,5791,8.3,673,vl,https://www.instagram.com/jamunilalcollegehajipur/,,n/a
636,Ranchi University,,AS,"{'ba', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Ranchi,Jharkhand,https://ranchiuniversity.ac.in/,60,6,2275,,,vl,https://youtu.be/VEBKtaCocS8?feature=shared,0.037840112,2
