S.No,inst_name,Rating,Category,Course,Infra,Faculty,District,State,Links,Placement %,ALP,Fee,Combined Score,Rank,FeeCategory,S links,Our Rating
505,Government Girls College,3.2,"M,C","{'ba', 'bcom', 'bsc'}",Average,Good,Bijapur,Chhattisgarh,https://bijapur.gov.in/en/public-utility/shahid-venkat-rao-govt-college-bijapur/,71.0,2.6,7800,23.36,281.0,vl,,n/a
148,"KRISHNA CHAITANYA INST OF
 TECHNOLOGY AND SCIENCES",3.5,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Prakasam,Andhra Pradesh,https://kits-anna.com,70.0,3.2,40000,23.36,282.0,l,,n/a
563,Ch. Ranbir Singh University,4.0,AS,"{'ba', 'mcom', 'd.pharm', 'b.pharm', 'msc', 'm.pharm', 'ma', 'bcom', 'diploma', 'eee', 'cse', 'bsc', 'llb', 'mec', 'ece'}",Good,VGood,Jind,Haryana,https://crsu.ac.in/,68.0,4.5,22290,23.35,283.0,vl,,n/a
209,"NRK AND KSR GUPTA COLLEGE OF
 PHARMACY",3.9,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Guntur,Andhra Pradesh,www.guptapharmacollege.com,69.0,3.5,34000,23.31,284.0,vl,,n/a
513,Government B.D. Arts and Commerce College,3.8,AS,"{'ma', 'ba', 'bcom'}",Good,Good,Janjgir-Champa,Chhattisgarh,http://www.gmmrcg.in/FacultyProfile.aspx?fid=43#,70.0,2.6,10000,23.3,285.0,vl,,n/a
451,Sibsagar College,4.6,M,"{'ba', 'bsc'}",VGood,VGood,Sivasagar,Assam,https://www.sibsagarcollege.in/,65.0,6.5,6680,23.29,286.0,vl,,n/a
307,"SRI LAKSHMI VENKATESWARA INST
 OF PHARM SCI",3.4,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Kadapa,Andhra Pradesh,https://slvpspdtr.org,70.0,3.0,120000,23.26,287.0,vh,,n/a
28,"ADI KAVI NANNAYA UNIVERSITY
 COLLEGE OF ENGINEERING",4.1,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,East Godavari,Andhra Pradesh,https://www.aknu.edu.in/,65.0,7.0,42000,23.24,288.0,l,,n/a
766,Government PG College,3.5,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Tikamgarh,Madhya Pradesh,,70.0,2.8,5000,23.24,289.0,vl,,n/a
105,"G.D.M.M. COLL OF ENGG AND
 TECHNOLOGY",3.7,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Krishna,Andhra Pradesh,Www.Gdmm.Ac.In,70.0,2.5,40000,23.23,290.5,l,,n/a
175,LINGAYAS INST OF MGMT AND TECHNOLOGY,3.7,M,"{'bma', 'marketing', 'mba'}",Good,Good,Krishna,Andhra Pradesh,https://www.limat.edu.in/,70.0,2.5,53300,23.23,290.5,m,,n/a
675,Government First Grade College,3.6,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Shivamogga,Karnataka,https://gfgc.kar.nic.in,70.0,2.6,5000,23.22,292.0,vl,,n/a
439,S. S. College,3.8,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Hailakandi,Assam,https://ssip.edu.in/,70.0,2.3,62500,23.21,293.0,m,,n/a
508,Government Nagarjuna Post Graduate College,4.0,AS,"{'ba', 'mcom', 'msc', 'ma', 'bcom', 'bsc'}",Good,VGood,Dhamtari,Chhattisgarh,https://www.gnscr.ac.in/,68.0,4.0,5215,23.2,294.0,vl,,n/a
611,Deoghar College,3.8,AS,"{'ba', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Deoghar,Jharkhand,https://www.deogharcollegedeoghar.com/,70.0,2.2,2000,23.18,295.5,vl,,n/a
672,Proudhadevaraya Institute of Technology,3.8,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Raichur,Karnataka,http://pdit.ac.in/,70.0,2.2,70000,23.18,295.5,m,,n/a
441,Jorhat Engineering College,3.9,"E,M","{'mca', 'eee', 'cse', 'mec', 'ece'}",Good,VGood,Jorhat,Assam,https://jecassam.ac.in/,70.0,2.0,11000,23.16,297.0,vl,,n/a
537,Government College,3.4,AS,"{'ba', 'mcom', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Balodabazar-Bhatapara,Chhattisgarh,https://www.gnapgcollege.in/index.aspx,70.0,2.6,5000,23.14,298.0,vl,,n/a
614,Sidhu Kanhu University,3.8,AS,"{'ba', 'msc', 'ma', 'bcom', 'bsc'}",Good,VGood,Dumka,Jharkhand,https://skmu.ac.in/,70.0,2.0,40000,23.12,299.0,l,,n/a
698,Government College,3.6,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Mananthavady,Kerala,https://www.gecwyd.ac.in/,70.0,2.2,2760,23.1,300.0,vl,,n/a
488,Women's College,3.2,WP,"{'ba', 'bsc'}",Good,Good,Samastipur,Bihar,https://womenscollegesamastipur.ac.in/web/,70.0,2.6,5000,23.06,301.0,vl,,n/a
64,BHIMAVARAM INST. OF ENGG. AND TECHNOLOGY,3.4,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,West Godavari,Andhra Pradesh,https://bietbvrm.ac.in/,70.0,2.2,40000,23.02,302.0,l,,n/a
608,Bokaro Steel City College,3.5,AS,"{'ba', 'msc', 'ma', 'bcom', 'bsc'}",Average,Good,Bokaro,Jharkhand,https://www.bscitycollege.ac.in/,70.0,2.0,909,23.0,304.0,vl,,n/a
640,Kolhan university,3.5,AS,"{'ba', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,West Singhbhum,Jharkhand,https://www.kolhanuniversity.ac.in/,70.0,2.0,50000,23.0,304.0,l,,n/a
71,CHAITANYA COLLEGE OF PHARMACY,3.5,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Prakasam,Andhra Pradesh,http://chaitanyapharmacycollege.com/,70.0,2.0,40000,23.0,304.0,l,,n/a
9,ANDHRA ENGINEERING COLLEGE,4.05,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,Nellore,Andhra Pradesh,https://www.aecn.in/,67.0,4.0,40000,22.92,306.0,l,,n/a
206,"NARAYANADRI INST OF SCI
 TECHNOLOGY",3.2,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Kadapa,Andhra Pradesh,http://www.nistrajampet.ac.in,70.0,2.1,40000,22.91,307.0,l,,n/a
243,"PRAGATI ENGINEERING COLLEGE-2nd
 SHIFT",4.0,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,East Godavari,Andhra Pradesh,www.pragati.ac.in,68.0,3.0,72800,22.9,308.0,h,,n/a
665,Field Marshal K. M. Cariappa College,3.6,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Good,VGood,Kodagu,Karnataka,https://fmkmcc.edu.in/,70.0,1.5,10000,22.89,309.0,vl,,n/a
627,V.B. College,3.1,AS,"{'ba', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Koderma,Jharkhand,https://koderma.nic.in,70.0,2.0,20730,22.84,310.5,vl,,n/a
621,St. Xavier's College,3.1,AS,"{'ba', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Gumla,Jharkhand,https://www.sxcran.org/,70.0,2.0,23400,22.84,310.5,vl,,n/a
188,"MALINENI LAKSHMAIAH COLLEGE OF
 PHARMACY",3.7,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Prakasam,Andhra Pradesh,http://www.malinenicolleges.ac.in,69.0,2.0,35000,22.78,312.0,vl,,n/a
573,Bhiwani Institute of Technology & Science,3.6,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Bhiwani,Haryana,https://bitsbhiwaniindia.org/,69.0,2.1,47250,22.77,313.0,l,,n/a
309,ST.MARYS GOUP OF INSTITUTIONS,3.9,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Guntur,Andhra Pradesh,https://www.shiksha.com/college/st-mary-s-group-of-institutions-guntur-52595,68.0,2.6,40000,22.74,314.0,l,,n/a
331,SRI SIVANI COLLEGE OF PHARMACY,3.7,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Krishna,Andhra Pradesh,https://www.srisivanisscp.com/,68.0,2.8,60000,22.72,315.0,m,,n/a
540,"Government College of Arts, Science and Commerce",3.7,AS,"{'ba', 'mcom', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,South Goa,Goa,https://www.gcq.ac.in/,68.0,2.6,5000,22.66,316.0,vl,,n/a
409,"YOGANANDA INST OF
 TECHNOLOGYAND SCIENCE",3.4,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Chittoor,Andhra Pradesh,www.yitsdmr.com,67.0,4.0,27000,22.66,317.0,vl,,n/a
583,Rao Pahlad Singh Group of Institutions,3.5,"E,P","{'d.pharm', 'b.pharm', 'm.pharm', 'eee', 'cse', 'mec', 'ece'}",Good,Good,Rewari,Haryana,https://rpsinstitutions.org/,68.0,2.7,56100,22.61,318.0,m,,n/a
190,"MALINENI LAKSHMAIAH WOMENS
 ENGG. COLLEGE",3.7,EW,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Guntur,Andhra Pradesh,http://mlewguntur.com,68.0,2.3,52100,22.57,319.0,m,,n/a
771,Ahmednagar College,3.7,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Ahmednagar,Maharashtra,https://www.aca.edu.in/,67.0,3.3,6960,22.57,320.0,vl,,n/a
90,"SIR C.V RAMAN INST OF TECHNOLOGY
 SCIENCES",3.9,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Anantapur,Andhra Pradesh,https://cvrt.in/,65.0,5.0,40000,22.56,321.0,l,,n/a
369,VIKAS GROUP OF INSTITUTIONS,5.0,E,"{'ece', 'eee', 'mec', 'cse'}",,,Krishna,Andhra Pradesh,https://vikasinstitutionsnunna.org,65.0,3.5,57500,22.55,322.0,m,,n/a
107,GOKUL GROUP OF INSTITUTIONS,3.0,E,"{'ece', 'eee', 'mec', 'cse'}",Bad,Good,Vizianagaram,Andhra Pradesh,https://www.gokulcollege.com,68.0,3.0,46000,22.5,323.0,l,,n/a
61,"DR L BULLAYYA COLL OF ENGG FOR
 WOMEN",4.1,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,Visakhapatnam,Andhra Pradesh,www.bullayyacollege.org,65.0,4.5,40000,22.49,324.0,l,,n/a
481,R. D. & D. J. College,3.2,M,"{'ba', 'bcom', 'bca', 'bsc'}",Average,Good,Munger,Bihar,https://www.rddjcollege.ac.in/web/,67.0,3.7,6000,22.49,325.0,vl,,n/a
38,AVANTHIS ST THERESSA INSTITUTE OF ENGG AND TECHNOLOGY,3.3,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Vizianagaram,Andhra Pradesh,https://sttheressaengg.ac.in/,65.0,5.5,40000,22.47,326.5,l,,n/a
634,Government Engineering College,3.6,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Ramgarh,Jharkhand,https://www.shiksha.com/college/ramgarh-engineering-college-59023/courses,68.0,2.1,35000,22.47,326.5,vl,,n/a
83,CHALAPATHI INST OF TECHNOLOGY,3.8,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Guntur,Andhra Pradesh,https://city.ac.in/,65.0,4.8,40000,22.46,328.0,l,,n/a
189,"MALINENI LAKSHMAIAH
 ENGINEERING COLLEGE",3.7,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Guntur,Andhra Pradesh,http://mlewguntur.com,68.0,1.9,43000,22.45,329.0,l,,n/a
383,V JS COLLEGE OF PHARMACY,4.7,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",VGood,VGood,East Godavari,Andhra Pradesh,https://www.vjscollegeofpharmacy.in,65.0,3.5,100000,22.43,330.0,h,,n/a
102,GATES INSTITUTE OF TECHNOLOGY,3.53,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Anantapur,Andhra Pradesh,www.gatesit.org,65.0,5.0,40000,22.412,331.0,l,,n/a
485,S. N. Sinha College,3.9,M,"{'ba', 'bms', 'bca', 'bcom', 'bsc', 'bbm'}",VGood,VGood,Jehanabad,Bihar,https://snsinhacollege.com/,67.0,2.5,33140,22.41,332.0,vl,,n/a
396,VASAVI INST OF PHARM SCIENCES,4.2,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",VGood,VGood,West Godavari,Andhra Pradesh,https://www.svips.ac.in,65.0,4.0,44650,22.38,333.0,l,,n/a
534,Government Degree College,3.5,AS,"{'ba', 'mcom', 'msc', 'ma', 'bcom', 'diploma', 'bsc', 'llb'}",Average,Good,Surguja,Chhattisgarh,https://www.rgpgcapur.ac.in/,67.0,2.9,2284,22.37,334.0,vl,,n/a
765,Government Polytechnic College,3.0,E,"{'diploma', 'eee', 'cse', 'mec', 'ece'}",Average,Good,Singrauli,Madhya Pradesh,https://polywaidhan.in/,68.0,2.5,10000,22.35,335.0,vl,,n/a
797,Swami Ramanand Teerth Marathwada University,4.1,AS,"{'ba', 'mcom', 'd.pharm', 'b.pharm', 'msc', 'm.pharm', 'ma', 'bcom', 'diploma', 'eee', 'cse', 'bsc', 'llb', 'mec', 'ece'}",VGood,Good,Nanded,Maharashtra,https://srtmun.ac.in/en/,65.0,4.0,37738,22.34,336.0,l,,n/a
554,Anand Agricultural University,3.5,"AS,M","{'mba', 'phd', 'msc', 'b.sc', 'b.tech', 'm.tech'}",Good,Good,Anand,Gujarat,https://www.aau.in/,67.0,2.8,27400,22.34,337.0,vl,,n/a
77,"CHADALAWADA RAMANAMMA
 ENGG. COLLEGE",3.7,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Chittoor,Andhra Pradesh,https://crectirupati.ac.in/index.html,66.0,3.5,55600,22.33,338.0,m,,n/a
460,Suryadeo Singh College,4.5,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Arwal,Bihar,https://www.gecarwal.ac.in/,60.0,8.4,11270,22.32,339.0,vl,,n/a
338,"SUN INST OF PHARM EDN AND
 RESEARCH",4.4,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",VGood,VGood,Nellore,Andhra Pradesh,http://www.sunpharmacynellore.com,65.0,3.5,40900,22.31,340.0,l,,n/a
385,"VIGNANS LARA INST. OF
 TECHNOLOGY AND SCI",4.0,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Guntur,Andhra Pradesh,https://www.vignanlara.org,65.0,4.0,70000,22.3,341.5,m,,n/a
349,"SRI VENKATESWARA INST OF
 TECHNOLOGY",4.0,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Anantapur,Andhra Pradesh,https://svcetedu.org,65.0,4.0,40000,22.3,341.5,l,,n/a
200,NARAYANA ENGINEERING COLLEGE,3.6,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Nellore,Andhra Pradesh,https://www.necn.ac.in/,65.0,4.5,47200,22.29,343.0,l,,n/a
435,Dibrugarh University,3.9,"M,P","{'mtech', 'ba', 'mcom', 'btech', '', 'bsc'}",Good,Good,Dibrugarh,Assam,https://dibru.ac.in/?home,65.0,4.0,4469,22.26,344.5,vl,,n/a
388,"VIGNANS NIRULA INST OF TECH. AND
 SCI FOR WOMEN",3.9,EW,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Guntur,Andhra Pradesh,https://www.vignannirula.org,65.0,4.0,40000,22.26,344.5,l,,n/a
748,Government PG College,3.5,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Raisen,Madhya Pradesh,,67.0,2.5,5000,22.25,346.0,vl,,n/a
268,R.K.COLLEGE OF ENGINEERING,4.6,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,Krishna,Andhra Pradesh,https://www.rkce.ac.in/,65.0,3.0,40000,22.24,347.0,l,,n/a
557,M. S. University,3.6,AS,"{'ba', 'mcom', 'btech', 'be', 'msc', 'ma', 'bcom', 'diploma', 'bsc', 'llb', 'me'}",Good,Good,Panchmahal,Gujarat,https://sggu.ac.in/,67.0,2.3,41000,22.23,348.5,l,,n/a
374,VIGNAN INST.OF PHARM.,4.2,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",VGood,VGood,Guntur,Andhra Pradesh,https://www.vignanpharmacycollege.in/,65.0,3.5,69500,22.23,348.5,m,,n/a
684,Sree Narayana College,3.8,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",VGood,Good,Kollam,Kerala,https://snckollam.ac.in/,66.0,3.0,3385,22.22,351.0,vl,,n/a
355,"SWARNANDHRA COLL. OF ENGG AND
 TECHNOLOGY",3.8,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,West Godavari,Andhra Pradesh,https://www.swarnandhra.ac.in,65.0,4.0,58700,22.22,351.0,m,,n/a
329,SRINIVASA INSTITUTE OF TECHNOLOGY AND MANG STUDIES,3.8,M,"{'bma', 'marketing', 'mba'}",Good,Good,Chittoor,Andhra Pradesh,https://sitams.org,65.0,4.0,30000,22.22,351.0,vl,,n/a
44,"AVANTHI INSTITUTE OF ENGG. AND
 TECHNOLOGY",3.3,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Ranga Reddy,Telangana,https://aietg.ac.in/,65.0,4.5,40000,22.17,353.0,l,,n/a
303,S K C COLLEGE OF PHARMACY,3.9,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Chittoor,Andhra Pradesh,https://www.skcprc.org,65.0,3.7,37050,22.17,354.0,l,,n/a
445,Kokrajhar Government College,4.0,AS,"{'ma', 'ba', 'msc', 'bsc'}",Good,Good,Kokrajhar,Assam,https://www.kgc.edu.in/,65.0,3.5,4427,22.15,355.5,vl,,n/a
371,VICTORIA COLLEGE OF PHARMACY,4.0,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Guntur,Andhra Pradesh,http://www.victoriapharmacy.org,65.0,3.5,40000,22.15,355.5,l,,n/a
401,"VISWANADHA INSTITUTE OF
 TECHNOLOGY AND MGMT",3.6,M,"{'bma', 'marketing', 'mba'}",Good,Good,Visakhapatnam,Andhra Pradesh,https://www.shiksha.com/college/viswanadha-institute-of-technology-and-management-visakhapatnam-44887/courses,65.0,4.0,57000,22.14,357.0,m,,n/a
155,"KAKINADA INSTITUTE OF ENGG. AND
 TECHNOLOGY",3.4,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,East Godavari,Andhra Pradesh,https://www.kietgroup.com,66.7,2.5,40000,22.12,358.0,l,,n/a
271,"RAYALASEEMA UNIVERSITY COLLEGE
 OF ENGG",4.3,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,Anantapur,Andhra Pradesh,http://www.ruce.ac.in/,65.0,3.0,60000,22.12,359.0,m,,n/a
346,"SRI VASAVI INSTT OF ENGINEERING
 AND TECHNOLOGY",3.9,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Machilipatnam,Andhra Pradesh,https://www.sviet.edu.in,65.0,3.5,40000,22.11,361.5,l,,n/a
347,"D M S S V H COLLEGE OF
 ENGINEERING",3.9,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Krishna,Andhra Pradesh,https://svhce.in/,65.0,3.5,40000,22.11,361.5,l,,n/a
365,"VIKAS COLLEGE OF ENGINEERING
 AND TECHNOLOGY",3.9,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Krishna,Andhra Pradesh,vikasinstitutionsnunna.org,65.0,3.5,59000,22.11,361.5,m,,n/a
336,"ST.MARYS WOMENS ENGINEERING
 COLLEGE",3.9,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Guntur,Andhra Pradesh,https://stmaryswomens.com,65.0,3.5,40000,22.11,361.5,l,,n/a
284,"SIDDARTHA EDNL ACADEMY GRP OF
 INSTNS",4.4,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,Krishna,Andhra Pradesh,https://www.siddharthaacademy.ac.in/,65.0,2.8,60600,22.1,364.0,m,,n/a
372,VIGNANS INSTT OF ENGINEERING FOR WOMEN,3.8,EW,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Hyderabad,Telangana,http://www.vmtw.in/index.php,65.0,3.5,53000,22.07,366.0,m,,n/a
351,"SRI VENKATESA PERUMAL COLLEGE
 OF ENGG. AND TECH",3.8,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Chittoor,Andhra Pradesh,https://www.svpcet.org/,65.0,3.5,40900,22.07,366.0,l,,n/a
359,"UNIVERSAL COLLEGE OF ENGG AND
 TECHNOLOGY",3.8,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Guntur,Andhra Pradesh,https://www.ucet.edu.in,65.0,3.5,40000,22.07,366.0,l,,n/a
546,Saurashtra University,4.0,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,VGood,Rajkot,Gujarat,https://saurashtrauniversity.edu/university/academic-departments/department-of-pharmaceutical-sciences/,65.0,3.2,15300,22.06,368.0,vl,,n/a
274,"AUDHISANKARA COLLEGE OF ENGG.
 AND TECHNOLOGY",4.3,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,Nellore,Andhra Pradesh,https://www.audisankara.ac.in,65.0,2.8,61100,22.06,369.5,m,,n/a
260,RAGHU COLLEGE OF PHARMACY,4.3,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",VGood,VGood,Visakhapatnam,Andhra Pradesh,https://raghucollegeofpharmacy.com,65.0,2.8,64500,22.06,369.5,m,,n/a
480,L. N. Janta College,2.6,M,"{'ba', 'bcom', 'bsc'}",Bad,Good,Madhubani,Bihar,https://lnjc.ac.in/web/pages/internet,68.0,2.0,5000,22.04,371.0,vl,,n/a
391,VIGNAN PHARMACY COLLEGE,3.7,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Guntur,Andhra Pradesh,https://www.vignanpharmacycollege.in,65.0,3.5,69500,22.03,372.5,m,,n/a
358,TIRUMALA ENGINEERING COLLEGE,3.7,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Guntur,Andhra Pradesh,https://www.tecnrt.org,65.0,3.5,65800,22.03,372.5,m,,n/a
400,VISAKHA TECHNICAL CAMPUS,3.6,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Visakhapatnam,Andhra Pradesh,https://www.viet.edu.in,65.0,3.5,14900,21.99,374.0,vl,,n/a
258,"RAVINDRA COLLEGE OF ENGG FOR
 WOMEN",4.1,EW,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,Kurnool,Andhra Pradesh,https://www.recw.ac.in,65.0,2.8,40000,21.98,375.0,l,,n/a
158,"KAKINADA INSTITUTE OF
 TECHNOLOGY SCIENCES",3.4,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Chittoor,Andhra Pradesh,http://www.kitsdivili.ac.in,65.6,3.1,40000,21.97,376.0,l,,n/a
230,"PRASIDDHA COLLEGE OF ENGG
 TECHNOLOGY",3.5,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,East Godavari,Andhra Pradesh,www.prasiddhaamp.com,65.0,3.5,35000,21.95,378.0,vl,,n/a
342,"SRI VENKATESWARA COLLEGE OF
 PHARMACY",3.5,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Chittoor,Andhra Pradesh,http://svcop.in,65.0,3.5,38000,21.95,378.0,l,,n/a
332,"SRI SATYANARAYANA ENGINEERING
 COLLEGE",3.5,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Prakasam,Andhra Pradesh,Www.Ssncolleges.Com,65.0,3.5,50000,21.95,378.0,l,,n/a
570,Maharishi Dayanand University,3.7,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Rohtak,Haryana,https://mdu.ac.in/Department/DepartmentHome.aspx?Dept=29,65.0,3.2,1000,21.94,380.0,vl,,n/a
801,Viva Institute of Pharmacy,3.8,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",VGood,Good,Palghar,Maharashtra,https://vivapharmacy.org/,65.0,3.0,65500,21.92,384.0,m,,n/a
269,"RISE KRISHNA SAI PRAKASAM GROUP
 OF INSTITUTIONS",3.8,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Prakasam,Andhra Pradesh,https://www.risekrishnasaiprakasam.edu.in,65.0,3.0,40300,21.92,384.0,l,,n/a
237,"PRIYADARSHINI INST. OF TECH AND
 SCIENCES FOR WOMEN",3.8,EW,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Khammam,Telangana,http://www.priw.ac.in,65.0,3.0,40000,21.92,384.0,l,,n/a
362,"VISWA BHARATHI COLLEGE OF
 PHARMACEUTICAL SCI.S",3.5,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Guntur,Andhra Pradesh,https://www.shiksha.com/college/vishwa-bharathi-college-of-pharmaceutical-sciences-guntur-60913,65.0,3.4,68000,21.92,384.0,m,,n/a
291,"SATYA INST OF TECHNOLOGY AND
 MGMT",3.8,M,"{'bma', 'marketing', 'mba'}",Good,Good,Vizianagaram,Andhra Pradesh,https://sitam.co.in/,65.0,3.0,40000,21.92,384.0,l,,n/a
297,SIMS COLLEGE OF PHARMACY,3.8,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Guntur,Andhra Pradesh,http://simscollege.ac.in,65.0,3.0,100000,21.92,384.0,h,,n/a
277,"SRI ANNAMACHARYA INSTITUTE OF
 TECHNOLOGY AND SCIENCE",3.8,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Kadapa,Andhra Pradesh,https://www.satsrjpt.com/,65.0,3.0,35000,21.92,384.0,vl,,n/a
382,VIZAG INSTT OF TECHNOLOGY,3.4,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Visakhapatnam,Andhra Pradesh,https://www.shiksha.com/college/vizag-institute-of-technology-vit-visakhapatnam-42762,65.0,3.5,24867,21.91,389.0,vl,,n/a
348,"SRI VENKATESWARA INSTT. OF
 SCIENCE AND TECHNOLOGY",3.4,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Chittoor,Andhra Pradesh,https://svcetedu.org,65.0,3.5,46800,21.91,389.0,l,,n/a
334,SAI TIRUMALA N V R ENGINEERING COLLEGE,3.4,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Guntur,Andhra Pradesh,https://www.shiksha.com/college/sai-tirumala-n-v-r-engineering-college-narasaraopet-60947,65.0,3.5,40000,21.91,389.0,l,,n/a
73,CHIRALA ENGINEERING COLLEGE,3.6,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Prakasam,Andhra Pradesh,https://www.cecc.co.in/,65.0,3.2,40000,21.9,391.5,l,,n/a
751,Awadhesh Pratap Singh University,3.6,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Rewa,Madhya Pradesh,https://www.apsurewa.ac.in/en/,65.0,3.2,5250,21.9,391.5,vl,,n/a
262,"RISE KRISHNA SAI GANDHI GROUP OF
 INSTITUTIONS",3.7,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Prakasam,Andhra Pradesh,https://www.risekrishnasaigandhi.edu.in,65.0,3.0,40000,21.88,393.0,l,,n/a
233,"PRIYADARSHINI INST OF TECH AND
 MGMT",3.3,M,"{'bma', 'marketing', 'mba'}",Good,Good,Guntur,Andhra Pradesh,https://pitmgnt.ac.in,65.0,3.5,40000,21.87,394.0,l,,n/a
